ID,P,temp,replicate,date,daydiff,days,cellcon,vol_cell,biovol
1,FULL,20,1,MARCH29,0,0,95295,822.27,78358219.65
2,FULL,20,2,MARCH29,0,0,55093,487.96,26883180.28
3,FULL,20,3,MARCH29,0,0,49381,475.29,23470295.49
4,FULL,20,4,MARCH29,0,0,77433,582.54,45107819.82
5,FULL,20,5,MARCH29,0,0,36475,501.48,18291483
6,FULL,20,6,MARCH29,0,0,105129,616.89,64853028.81
7,DEF,20,1,MARCH29,0,0,136915,872,119389880
8,DEF,20,2,MARCH29,0,0,48376,679.88,32889874.88
9,DEF,20,3,MARCH29,0,0,66289,451.56,29933460.84
10,DEF,20,4,MARCH29,0,0,65332,426.47,27862138.04
11,DEF,20,5,MARCH29,0,0,76005,545.76,41480488.8
12,DEF,20,6,MARCH29,0,0,119226,694.65,82820340.9
13,FULL,16,1,MARCH29,0,0,6365,697.08,4436914.2
14,FULL,16,2,MARCH29,0,0,6724,799.16,5373551.84
15,FULL,16,3,MARCH29,0,0,6231,738.61,4602278.91
16,FULL,16,4,MARCH29,0,0,5471,527.64,2886718.44
17,FULL,16,5,MARCH29,0,0,5856,522.39,3059115.84
18,FULL,16,6,MARCH29,0,0,3873,599.48,2321786.04
19,DEF,16,1,MARCH29,0,0,2345,628,1472660
20,DEF,16,2,MARCH29,0,0,11412,576.59,6580045.08
21,DEF,16,3,MARCH29,0,0,4683,602.18,2820008.94
22,DEF,16,4,MARCH29,0,0,4646,626.43,2910393.78
23,DEF,16,5,MARCH29,0,0,7016,549.76,3857116.16
24,DEF,16,6,MARCH29,0,0,5195,613.72,3188275.4
25,FULL,24,1,MARCH29,0,0,64479,404,26049516
26,FULL,24,2,MARCH29,0,0,36430,259.57,9456135.1
27,FULL,24,3,MARCH29,0,0,102874,347.97,35797065.78
28,FULL,24,4,MARCH29,0,0,119954,310.32,37224125.28
29,FULL,24,5,MARCH29,0,0,108279,407.32,44104202.28
30,FULL,24,6,MARCH29,0,0,99506,408.66,40664121.96
31,DEF,24,1,MARCH29,0,0,68528,414.1,28377444.8
32,DEF,24,2,MARCH29,0,0,84345,334.63,28224367.35
33,DEF,24,3,MARCH29,0,0,70876,392.68,27831587.68
34,DEF,24,4,MARCH29,0,0,149729,314.37,47070305.73
35,DEF,24,5,MARCH29,0,0,113158,322.33,36474218.14
37,FULL,12,1,MARCH29,0,0,8635,681.66,5886134.1
38,FULL,12,2,MARCH29,0,0,4784,551.2,2636940.8
39,FULL,12,3,MARCH29,0,0,4316,565.24,2439575.84
40,FULL,12,4,MARCH29,0,0,5487,626.5,3437605.5
41,FULL,12,5,MARCH29,0,0,5227,579.82,3030719.14
42,FULL,12,6,MARCH29,0,0,3638,538.76,1960008.88
43,DEF,12,1,MARCH29,0,0,5741,492.92,2829853.72
44,DEF,12,2,MARCH29,0,0,19090,539.02,10289891.8
45,DEF,12,3,MARCH29,0,0,6238,466.4,2909403.2
46,DEF,12,4,MARCH29,0,0,8393,598.64,5024385.52
47,DEF,12,5,MARCH29,0,0,6656,597.86,3979356.16
48,DEF,12,6,MARCH29,0,0,6935,510.07,3537335.45
51,DEF,12,C1,MARCH29,0,0,7555,369.04,2788097.2
54,FULL,12,C1,MARCH29,0,0,10587,327.12,3463219.44
1,FULL,20,1,APRIL1,3,3,2975906,296.92,883606009.52
2,FULL,20,2,APRIL1,3,3,541928,285.99,154985988.72
3,FULL,20,3,APRIL1,3,3,500381,220.42,110293980.02
4,FULL,20,4,APRIL1,3,3,502650,214.69,107913928.5
5,FULL,20,5,APRIL1,3,3,610902,216.19,132070903.38
6,FULL,20,6,APRIL1,3,3,316870,176.64,55971916.8
7,DEF,20,1,APRIL1,3,3,911507,193.73,176586251.11
8,DEF,20,2,APRIL1,3,3,1174219,235.55,276587285.45
9,DEF,20,3,APRIL1,3,3,1179486,217.06,256019231.16
10,DEF,20,4,APRIL1,3,3,1005692,242.36,243739513.12
11,DEF,20,5,APRIL1,3,3,1926349,321.86,620014689.14
12,DEF,20,6,APRIL1,3,3,1497343,321.74,481755136.82
13,FULL,16,1,APRIL1,3,3,481329,887.66,427256500.14
14,FULL,16,2,APRIL1,3,3,199550,220,43901000
15,FULL,16,3,APRIL1,3,3,119663,227.85,27265214.55
16,FULL,16,4,APRIL1,3,3,402096,289.25,116306268
17,FULL,16,5,APRIL1,3,3,217996,271.38,59159754.48
18,FULL,16,6,APRIL1,3,3,365679,255.04,93262772.16
19,DEF,16,1,APRIL1,3,3,762621,282.33,215310786.93
20,DEF,16,2,APRIL1,3,3,2064184,305.83,631289392.72
21,DEF,16,3,APRIL1,3,3,261496,389.01,101724558.96
22,DEF,16,4,APRIL1,3,3,460526,302.21,139175562.46
23,DEF,16,5,APRIL1,3,3,665477,347.49,231246602.73
24,DEF,16,6,APRIL1,3,3,148991,305.86,45570387.26
25,FULL,24,1,APRIL1,3,3,78926,498.2,39320933.2
26,FULL,24,2,APRIL1,3,3,26720,848.96,22684211.2
27,FULL,24,3,APRIL1,3,3,29523,600.94,17741551.62
28,FULL,24,4,APRIL1,3,3,20766,940.48,19530007.68
29,FULL,24,5,APRIL1,3,3,31782,448.05,14239925.1
30,FULL,24,6,APRIL1,3,3,28325,505.03,14304974.75
31,DEF,24,1,APRIL1,3,3,40563,376.02,15252499.26
32,DEF,24,2,APRIL1,3,3,67133,455.53,30581095.49
33,DEF,24,3,APRIL1,3,3,20172,349.5,7050114
34,DEF,24,4,APRIL1,3,3,11421,416.36,4755247.56
35,DEF,24,5,APRIL1,3,3,42352,347.44,14714778.88
36,DEF,24,6,APRIL1,0,0,36042,493.16,17774472.72
37,FULL,12,1,APRIL1,3,3,51013,1645.86,83960256.18
38,FULL,12,2,APRIL1,3,3,69609,537.64,37424582.76
39,FULL,12,3,APRIL1,3,3,68271,841.85,57473941.35
40,FULL,12,4,APRIL1,3,3,81219,417.8,33933298.2
41,FULL,12,5,APRIL1,3,3,131634,417.68,54980889.12
42,FULL,12,6,APRIL1,3,3,73895,359.52,26566730.4
43,DEF,12,1,APRIL1,3,3,211846,570.26,120807299.96
44,DEF,12,2,APRIL1,3,3,325563,516.9,168283514.7
45,DEF,12,3,APRIL1,3,3,48632,376.16,18293413.12
46,DEF,12,4,APRIL1,3,3,222694,569.09,126732928.46
47,DEF,12,5,APRIL1,3,3,61409,374.31,22986002.79
48,DEF,12,6,APRIL1,3,3,65064,591.29,38471692.56
49,FULL,12,C4,APRIL1,0,0,97070,407.08,39515255.6
50,DEF,12,C4,APRIL1,0,0,45572,422.52,19255081.44
51,DEF,12,C1,APRIL1,3,3,13352,465.13,6210415.76
52,DEF,12,C2,APRIL1,0,0,17017,479.95,8167309.15
53,DEF,12,C3,APRIL1,0,0,26568,458.01,12168409.68
54,FULL,12,C1,APRIL1,3,3,14619,478.91,7001185.29
55,FULL,12,C2,APRIL1,0,0,15000,459.22,6888300
56,FULL,12,C3,APRIL1,0,0,15508,499.85,7751673.8
57,DEF,16,C1,APRIL1,0,0,19859,468.54,9304735.86
58,DEF,16,C2,APRIL1,0,0,16044,505.23,8105910.12
59,DEF,16,C3,APRIL1,0,0,17354,477.4,8284799.6
60,FULL,16,C1,APRIL1,0,0,12462,455.58,5677437.96
61,FULL,16,C2,APRIL1,0,0,9981,442.7,4418588.7
62,FULL,16,C3,APRIL1,0,0,12403,513.72,6371669.16
1,FULL,20,1,APRIL5,4,7,187428,542.77,101730295.56
2,FULL,20,2,APRIL5,4,7,262616,606.76,159344884.16
3,FULL,20,3,APRIL5,4,7,463220,451.48,209134565.6
4,FULL,20,4,APRIL5,4,7,421485,335.44,141382928.4
5,FULL,20,5,APRIL5,4,7,393409,610.28,240089644.52
6,FULL,20,6,APRIL5,4,7,369092,390.4,144093516.8
7,DEF,20,1,APRIL5,4,7,1077929,270.19,291245636.51
8,DEF,20,2,APRIL5,4,7,204186,547,111689742
9,DEF,20,3,APRIL5,4,7,565556,313.5,177301806
10,DEF,20,4,APRIL5,4,7,145014,272.13,39462659.82
11,DEF,20,5,APRIL5,4,7,117518,350.87,41233540.66
12,DEF,20,6,APRIL5,4,7,497631,408.32,203192689.92
13,FULL,16,1,APRIL5,4,7,144847,787.11,114010522.17
14,FULL,16,2,APRIL5,4,7,103065,1330.56,137134166.4
15,FULL,16,3,APRIL5,4,7,121851,1045.62,127409842.62
16,FULL,16,4,APRIL5,4,7,53241,767.32,40852884.12
17,FULL,16,5,APRIL5,4,7,58366,1242.13,72498159.58
18,FULL,16,6,APRIL5,4,7,132047,726.82,95974400.54
19,DEF,16,1,APRIL5,4,7,67022,642.44,43057613.68
20,DEF,16,2,APRIL5,4,7,56549,826.63,46745099.87
21,DEF,16,3,APRIL5,4,7,24046,808.62,19444076.52
22,DEF,16,4,APRIL5,4,7,77243,851.76,65792497.68
23,DEF,16,5,APRIL5,4,7,62797,905.95,56890942.15
24,DEF,16,6,APRIL5,4,7,314664,698.44,219773924.16
25,FULL,24,1,APRIL5,4,7,5548,367.34,2038002.32
26,FULL,24,2,APRIL5,4,7,22359,445.3,9956462.7
27,FULL,24,3,APRIL5,4,7,19354,525.43,10169172.22
28,FULL,24,4,APRIL5,4,7,11413,355.58,4058234.54
29,FULL,24,5,APRIL5,4,7,39122,365.6,14303003.2
30,FULL,24,6,APRIL5,4,7,21858,453.22,9906482.76
31,DEF,24,1,APRIL5,4,7,39324,450.96,17733551.04
32,DEF,24,2,APRIL5,4,7,44765,449.34,20114705.1
33,DEF,24,3,APRIL5,4,7,13552,511.54,6932390.08
34,DEF,24,4,APRIL5,4,7,19823,560.14,11103655.22
35,DEF,24,5,APRIL5,4,7,36627,413.78,15155520.06
36,DEF,24,6,APRIL5,4,4,14301,813.39,11632290.39
37,FULL,12,1,APRIL5,4,7,41630,505.44,21041467.2
38,FULL,12,2,APRIL5,4,7,79353,465.09,36906286.77
39,FULL,12,3,APRIL5,4,7,65534,486.07,31854111.38
40,FULL,12,4,APRIL5,4,7,87012,394.35,34313182.2
41,FULL,12,5,APRIL5,4,7,43619,473.56,20656213.64
42,FULL,12,6,APRIL5,4,7,43275,562.25,24331368.75
43,DEF,12,1,APRIL5,4,7,77164,486.05,37505562.2
44,DEF,12,2,APRIL5,4,7,59177,491.74,29099697.98
45,DEF,12,3,APRIL5,4,7,57080,413.49,23602009.2
46,DEF,12,4,APRIL5,4,7,51126,490.55,25079859.3
47,DEF,12,5,APRIL5,4,7,58396,726.51,42425277.96
48,DEF,12,6,APRIL5,4,7,41024,490.59,20125964.16
49,FULL,12,C4,APRIL5,4,4,44698,413.81,18496479.38
50,DEF,12,C4,APRIL5,4,4,57962,478.36,27726702.32
51,DEF,12,C1,APRIL5,4,7,41952,439.06,18419445.12
52,DEF,12,C2,APRIL5,4,4,42714,434.11,18542574.54
53,DEF,12,C3,APRIL5,4,4,24145,458.57,11072172.65
54,FULL,12,C1,APRIL5,4,7,20576,409.51,8426077.76
55,FULL,12,C2,APRIL5,4,4,16932,455.82,7717944.24
56,FULL,12,C3,APRIL5,4,4,16066,467.79,7515514.14
57,DEF,16,C1,APRIL5,4,4,65822,1260.2,82948884.4
58,DEF,16,C2,APRIL5,4,4,38604,672.42,25958101.68
59,DEF,16,C3,APRIL5,4,4,60532,770.41,46634458.12
60,FULL,16,C1,APRIL5,4,4,53040,948.34,50299953.6
61,FULL,16,C2,APRIL5,4,4,39309,618.36,24307113.24
62,FULL,16,C3,APRIL5,4,4,33684,691.55,23294170.2
63,DEF,20,C1,APRIL5,0,0,19814,418.78,8297706.92
64,DEF,20,C2,APRIL5,0,0,25068,339.92,8521114.56
65,DEF,20,C3,APRIL5,0,0,21856,389.07,8503513.92
66,FULL,20,C1,APRIL5,0,0,19551,382.35,7475324.85
67,FULL,20,C2,APRIL5,0,0,18516,391.69,7252532.04
68,FULL,20,C3,APRIL5,0,0,19025,399.44,7599346
69,DEF,24,C1,APRIL5,0,0,24483,383.97,9400737.51
70,DEF,24,C2,APRIL5,0,0,22699,346.58,7867019.42
71,DEF,24,C3,APRIL5,0,0,23592,358.83,8465517.36
72,FULL,24,C1,APRIL5,0,0,22356,375.58,8396466.48
73,FULL,24,C2,APRIL5,0,0,21864,339.94,7432448.16
74,FULL,24,C3,APRIL5,0,0,20148,360.49,7263152.52
1,FULL,20,1,APRIL8,3,10,11394,2425.36,27634551.84
2,FULL,20,2,APRIL8,3,10,10745,1215.17,13057001.65
3,FULL,20,3,APRIL8,3,10,52482,475.86,24974084.52
4,FULL,20,4,APRIL8,3,10,26349,2842.94,74908626.06
5,FULL,20,5,APRIL8,3,10,41928,1458.08,61134378.24
6,FULL,20,6,APRIL8,3,10,76839,1889.78,145208805.42
7,DEF,20,1,APRIL8,3,10,28217,1859.99,52483337.83
8,DEF,20,2,APRIL8,3,10,28798,989.76,28503108.48
9,DEF,20,3,APRIL8,3,10,163472,920.61,150493957.92
10,DEF,20,4,APRIL8,3,10,88755,818.48,72644192.4
11,DEF,20,5,APRIL8,3,10,35607,548.26,19521893.82
12,DEF,20,6,APRIL8,3,10,97735,807.41,78912216.35
13,FULL,16,1,APRIL8,3,10,39108,1280.94,50095001.52
14,FULL,16,2,APRIL8,3,10,98166,1261.35,123821684.1
15,FULL,16,3,APRIL8,3,10,60909,539.63,32868323.67
16,FULL,16,4,APRIL8,3,10,37144,1010.91,37549241.04
17,FULL,16,5,APRIL8,3,10,51236,429.71,22016621.56
18,FULL,16,6,APRIL8,3,10,108059,795.69,85981465.71
19,DEF,16,1,APRIL8,3,10,52634,798.61,42034038.74
20,DEF,16,2,APRIL8,3,10,140385,740.93,104015458.05
21,DEF,16,3,APRIL8,3,10,24609,551.35,13568172.15
22,DEF,16,4,APRIL8,3,10,17940,615.11,11035073.4
23,DEF,16,5,APRIL8,3,10,39787,1557.27,61959101.49
24,DEF,16,6,APRIL8,3,10,22993,1477.46,33971237.78
25,FULL,24,1,APRIL8,3,10,117,688.56,80561.52
26,FULL,24,2,APRIL8,3,10,415,218.59,90714.85
27,FULL,24,3,APRIL8,3,10,717,345.97,248060.49
28,FULL,24,4,APRIL8,3,10,920,1831.56,1685035.2
29,FULL,24,5,APRIL8,3,10,316,753.74,238181.84
30,FULL,24,6,APRIL8,3,10,425,608.06,258425.5
31,DEF,24,1,APRIL8,3,10,1055,1321.72,1394414.6
32,DEF,24,2,APRIL8,3,10,105,593.39,62305.95
33,DEF,24,3,APRIL8,3,10,485,394.79,191473.15
34,DEF,24,4,APRIL8,3,10,816,568.23,463675.68
35,DEF,24,5,APRIL8,3,10,2763,315.16,870787.08
36,DEF,24,6,APRIL8,3,7,864,463.83,400749.12
37,FULL,12,1,APRIL8,3,10,33189,1031.02,34218522.78
38,FULL,12,2,APRIL8,3,10,39195,1115.82,43734564.9
39,FULL,12,3,APRIL8,3,10,23009,1030.34,23707093.06
40,FULL,12,4,APRIL8,3,10,15169,730.66,11083381.54
41,FULL,12,5,APRIL8,3,10,16447,812.36,13360884.92
42,FULL,12,6,APRIL8,3,10,62629,475.64,29788857.56
43,DEF,12,1,APRIL8,3,10,28380,1507.02,42769227.6
44,DEF,12,2,APRIL8,3,10,27497,1022.57,28117607.29
45,DEF,12,3,APRIL8,3,10,21312,794.62,16934941.44
46,DEF,12,4,APRIL8,3,10,27055,913.35,24710684.25
47,DEF,12,5,APRIL8,3,10,23439,1032.18,24193267.02
48,DEF,12,6,APRIL8,3,10,39058,1131.81,44206234.98
49,FULL,12,C4,APRIL8,3,7,42013,1078.4,45306819.2
50,DEF,12,C4,APRIL8,3,7,24420,1019.99,24908155.8
51,DEF,12,C1,APRIL8,3,10,15460,912.37,14105240.2
52,DEF,12,C2,APRIL8,3,7,60173,1946.78,117143592.94
53,DEF,12,C3,APRIL8,3,7,30686,2264.77,69496732.22
54,FULL,12,C1,APRIL8,3,10,25353,825.88,20938535.64
55,FULL,12,C2,APRIL8,3,7,14940,992.86,14833328.4
56,FULL,12,C3,APRIL8,3,7,25684,910.21,23377833.64
57,DEF,16,C1,APRIL8,3,7,73779,320.33,23633627.07
58,DEF,16,C2,APRIL8,3,7,34927,404.52,14128670.04
60,FULL,16,C1,APRIL8,3,7,117924,519.91,61309866.84
61,FULL,16,C2,APRIL8,3,7,139462,615.4,85824914.8
62,FULL,16,C3,APRIL8,3,7,274574,509.01,139760911.74
63,DEF,20,C1,APRIL8,3,3,56971,505.35,28790294.85
64,DEF,20,C2,APRIL8,3,3,36542,550.79,20126968.18
65,DEF,20,C3,APRIL8,3,3,124365,396.55,49316940.75
66,FULL,20,C1,APRIL8,3,3,73125,734.12,53682525
67,FULL,20,C2,APRIL8,3,3,82262,321.11,26415150.82
68,FULL,20,C3,APRIL8,3,3,191463,426.37,81634079.31
69,DEF,24,C1,APRIL8,3,3,64568,524.44,33862041.92
70,DEF,24,C2,APRIL8,3,3,33190,460.4,15280676
71,DEF,24,C3,APRIL8,3,3,44974,410.68,18469922.32
72,FULL,24,C1,APRIL8,3,3,48335,399.39,19304515.65
73,FULL,24,C2,APRIL8,3,3,56624,270.12,15295274.88
74,FULL,24,C3,APRIL8,3,3,65423,299.45,19590917.35
1,FULL,20,1,APRIL12,4,14,1444,2268.83,3276190.52
2,FULL,20,2,APRIL12,4,14,10696,2637.66,28212411.36
3,FULL,20,3,APRIL12,4,14,11931,1739.22,20750633.82
4,FULL,20,4,APRIL12,4,14,588,3113.1,1830502.8
5,FULL,20,5,APRIL12,4,14,3922,7475.5,29318911
6,FULL,20,6,APRIL12,4,14,2051,786.23,1612557.73
7,DEF,20,1,APRIL12,4,14,6527,3052.12,19921187.24
8,DEF,20,2,APRIL12,4,14,2191,1222.12,2677664.92
9,DEF,20,3,APRIL12,4,14,4971,2014.42,10013681.82
10,DEF,20,4,APRIL12,4,14,2313,685.06,1584543.78
11,DEF,20,5,APRIL12,4,14,3152,766.54,2416134.08
12,DEF,20,6,APRIL12,4,14,2618,922.49,2415078.82
13,FULL,16,1,APRIL12,4,14,27907,550.8,15371175.6
14,FULL,16,2,APRIL12,4,14,15751,1458.8,22977558.8
15,FULL,16,3,APRIL12,4,14,26650,583.73,15556404.5
16,FULL,16,4,APRIL12,4,14,10984,753.63,8277871.92
17,FULL,16,5,APRIL12,4,14,20975,831.02,17430644.5
18,FULL,16,6,APRIL12,4,14,24501,1928.27,47244543.27
19,DEF,16,1,APRIL12,4,14,18611,963.05,17923323.55
20,DEF,16,2,APRIL12,4,14,1698,325.61,552885.78
21,DEF,16,3,APRIL12,4,14,62737,681.98,42785379.26
22,DEF,16,4,APRIL12,4,14,26358,1087.47,28663534.26
23,DEF,16,5,APRIL12,4,14,21055,564.4,11883442
24,DEF,16,6,APRIL12,4,14,42232,1122.4,47401196.8
25,FULL,24,1,APRIL12,4,14,7608,1692.41,12875855.28
26,FULL,24,2,APRIL12,4,14,1992,466.41,929088.72
27,FULL,24,3,APRIL12,4,14,1915,464.04,888636.6
28,FULL,24,4,APRIL12,4,14,16185,747.5,12098287.5
29,FULL,24,5,APRIL12,4,14,9275,410.48,3807202
30,FULL,24,6,APRIL12,4,14,12671,398.64,5051167.44
31,DEF,24,1,APRIL12,4,14,1796,1670.25,2999769
32,DEF,24,2,APRIL12,4,14,2202,355.41,782612.82
33,DEF,24,3,APRIL12,4,14,4332,396.53,1717767.96
34,DEF,24,4,APRIL12,4,14,4185,467.22,1955315.7
35,DEF,24,5,APRIL12,4,14,4831,422.22,2039744.82
36,DEF,24,6,APRIL12,4,11,2838,543.02,1541090.76
37,FULL,12,1,APRIL12,4,14,35184,1157.25,40716684
38,FULL,12,2,APRIL12,4,14,42992,946.81,40705255.52
39,FULL,12,3,APRIL12,4,14,66234,1104.6,73162076.4
40,FULL,12,4,APRIL12,4,14,97165,1066.08,103585663.2
41,FULL,12,5,APRIL12,4,14,61526,1201.7,73935794.2
42,FULL,12,6,APRIL12,4,14,56426,1117.84,63075239.84
43,DEF,12,1,APRIL12,4,14,21444,756.39,16220027.16
44,DEF,12,2,APRIL12,4,14,40899,786.98,32186695.02
45,DEF,12,3,APRIL12,4,14,24671,829.35,20460893.85
47,DEF,12,5,APRIL12,4,14,61710,864.73,53362488.3
48,DEF,12,6,APRIL12,4,14,55448,1180.6,65461908.8
49,FULL,12,C4,APRIL12,4,11,52725,916.2,48306645
50,DEF,12,C4,APRIL12,4,11,84272,1093.29,92133734.88
51,DEF,12,C1,APRIL12,4,14,36384,759.68,27640197.12
52,DEF,12,C2,APRIL12,4,11,87494,962.82,84240973.08
53,DEF,12,C3,APRIL12,4,11,52485,843.79,44286318.15
54,FULL,12,C1,APRIL12,4,14,51265,932.64,47811789.6
55,FULL,12,C2,APRIL12,4,11,46882,906.22,42485406.04
56,FULL,12,C3,APRIL12,4,11,43585,1046.06,45592525.1
57,DEF,16,C1,APRIL12,4,11,48697,916.55,44633235.35
58,DEF,16,C2,APRIL12,4,11,89401,755.88,67576427.88
